Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0wHFktze2PHC5jDt3B17DC,"2LIk90788K0zvyj2JJVwkJ","First Class","Come Home The Kids Miss You","Jack Harlow",2022-05-06,173947,81,spotify:user:,2022-11-30T13:47:00Z,"deep underground hip hop,kentucky hip hop,pop rap,rap",0.902,0.582,5,-5.902,0,0.109,0.111,0.00000318,0.111,0.332,107.005,4
0VjIjW4GlUZAMYd2vXMi3b,"1Xyo4u8uXC1ZmMpatF05PJ","Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,92,spotify:user:,2022-11-30T13:47:00Z,"canadian contemporary r&b,canadian pop,pop",0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0000954,0.0897,0.334,171.005,4
1ri9ZUkBJVFUdgwzCnfcYs,"4obzFoKoKRHIphyHzJ35G3,790FomKkXshlbRYZFtlgla","MAMIII","MAMIII","Becky G,KAROL G",2022-02-10,226088,76,spotify:user:,2022-11-30T13:47:00Z,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino,reggaeton colombiano",0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,4
3uUuGVFu1V7jTQL60S1r8z,"7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX","Where Are You Now","Where Are You Now","Lost Frequencies,Calum Scott",2021-07-30,148197,86,spotify:user:,2022-11-30T13:47:00Z,"belgian edm,edm,pop dance,tropical house,pop",0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4
3rmo8F54jFF8OgYsqTxm5d,"6eUKZXaKkcviH0Ku9w2n3V","Bad Habits","=","Ed Sheeran",2021-10-29,230746,85,spotify:user:,2022-11-30T13:47:00Z,"pop,singer-songwriter pop,uk pop",0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,0.537,126.011,4
5fwSHlTEWpluwOM0Sxnh5k,"329e4yvIujISKGKz1BZZbO","Pepas","Pepas","Farruko",2021-06-24,287120,83,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino",0.762,0.766,7,-3.955,1,0.0343,0.00776,0.0000698,0.128,0.442,130.001,4
4ZtFanR9U6ndgddUvNcjcG,"1McMsnEElThX1knmY4oliG","good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,86,spotify:user:,2022-11-30T13:47:00Z,"pop",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
2eAvDnpXP5W0cVtiI0PUxV,"2WzaAvm2bBCf4pEhyuDgCY","Dandelions","Safe Haven","Ruth B.",2017-05-05,233720,90,spotify:user:,2022-11-30T13:47:00Z,"alt z,canadian contemporary r&b,canadian pop,pop",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
1PckUlxKqWQs3RlWXVBLw3,"56oDRnqbIiwx4mymNEv7dS","About Damn Time","About Damn Time","Lizzo",2022-04-14,191822,78,spotify:user:,2022-11-30T13:47:00Z,"escape room,minnesota hip hop,pop,trap queen",0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,4
0e8nrvls4Qqv5Rfa2UhqmO,"7jVv8c5Fj3E9VhNjxT4snq","THATS WHAT I WANT","MONTERO","Lil Nas X",2021-09-17,143901,83,spotify:user:,2022-11-30T13:47:00Z,"lgbtq+ hip hop",0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,4
4h9wh7iOZ0GGn8QVp4RAOB,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","OneRepublic",2022-05-13,148485,91,spotify:user:,2022-11-30T13:47:00Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
46HNZY1i7O6jwTA7Slo2PI,"4gzpq5DPGxSnKTe4SA8HAU,3Nrfpe0tUJi4K4DXYWgMUX","My Universe","Music Of The Spheres","Coldplay,BTS",2021-10-15,226198,80,spotify:user:,2022-11-30T13:47:00Z,"permanent wave,pop,k-pop,k-pop boy group",0.573,0.711,1,-6.268,0,0.0406,0.0114,0,0.328,0.47,105.006,4
5ww2BF9slyYgNOk37BlC4u,"0tmwSHipWxN12fsoLcFU3B","La Bachata","La Bachata","Manuel Turizo",2022-05-26,162637,86,spotify:user:,2022-11-30T13:47:00Z,"colombian pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.835,0.679,7,-5.329,0,0.0364,0.583,0.00000198,0.218,0.85,124.98,4
0lREs0EdgrMQQKw00yx0Ct,"1Yj5Xey7kTwvZla8sqdsdE","Una Noche en Medellín","Una Noche en Medellín","Cris Mj",2022-01-21,153750,81,spotify:user:,2022-11-30T13:47:00Z,"mambo chileno,urbano chileno",0.87,0.548,10,-5.253,0,0.077,0.0924,0.000046,0.0534,0.832,96.018,4
4SqWKzw0CbA05TGszDgMlc,"027TpXKGwdXP7iwbjUSpV8","I Love You So","I Love You So","The Walters",2014-11-28,160239,88,spotify:user:,2022-11-30T13:47:00Z,"chicago indie,pov: indie",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
1SOClUWhOi8vHZYMz3GluK,"6QrQ7OrISRYIfS5mtacaw2","Infinity","Feel Something","Jaymes Young",2017-06-23,237720,84,spotify:user:,2022-11-30T13:47:00Z,"indie poptimism",0.671,0.673,11,-6.941,0,0.0444,0.148,0.0000529,0.304,0.494,121.963,4
4tYFy8ALRjIZvnvSLw5lxN,"4q3ewBCX7sLwd24euuV69X,1mcTU81TzQhprhouKaTkpq","Party","Un Verano Sin Ti","Bad Bunny,Rauw Alejandro",2022-05-06,227628,81,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino,puerto rican pop",0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4
6UelLqGlWMcVH1E5c4H7lY,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,89,spotify:user:,2022-11-30T13:47:00Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
18asYwWugKjjsihZ0YvRxO,"2o5jDhtHVPhrJdv3cEQ99Z,4npEfmQ6YuiwW1GpUmaq3F","The Motto","The Motto","Tiësto,Ava Max",2021-11-04,164818,81,spotify:user:,2022-11-30T13:47:00Z,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,pop",0.754,0.763,7,-4.627,0,0.0435,0.0301,0.0000223,0.0901,0.464,117.953,4
5CZ40GBx1sQ9agT82CLQCT,"1McMsnEElThX1knmY4oliG","traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,88,spotify:user:,2022-11-30T13:47:00Z,"pop",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
1qEmFfgcLObUfQm0j1W2CK,"6KImCVD70vtIoJWnq6nGn3","Late Night Talking","Harry's House","Harry Styles",2022-05-20,177954,86,spotify:user:,2022-11-30T13:47:00Z,"pop",0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,4
0T5iIrXA4p5GsubkhuBIKV,"5XKFrudbV4IiuE5WuTPRmT","Until I Found You","Until I Found You","Stephen Sanchez",2021-09-01,177720,83,spotify:user:,2022-11-30T13:47:00Z,"gen z singer-songwriter",0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,3
4gzsuuZypVbxs0Af1LSZyB,"0GM7qgcRCORpGnfcN2tCiB,4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy,Bad Bunny,Julieta Venegas",2021-10-05,207301,78,spotify:user:,2022-11-30T13:47:00Z,"pop reggaeton,reggaeton,trap latino,urbano latino,cantautora mexicana,latin alternative,latin pop,latin rock,rock en espanol",0.639,0.703,4,-6.33,0,0.0794,0.0889,0.00000178,0.0865,0.138,169.888,4
2JPLbjOn0wPCngEot2STUS,"4q3ewBCX7sLwd24euuV69X","Yonaguni","Yonaguni","Bad Bunny",2021-06-04,206710,83,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino",0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,4
41oY4WCTj5kccfesTVFnvN,"4q3ewBCX7sLwd24euuV69X,6nVcHLIgY5pE2YCl8ubca1","Tarot","Un Verano Sin Ti","Bad Bunny,Jhayco",2022-05-06,237894,82,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino",0.795,0.684,11,-3.971,0,0.0419,0.0225,0,0.658,0.419,114.011,4
